S;s;i;n_fo;fo_list;Avg_fo;Std_fo
22137;10987;4;20;[388888.89, 398360.5, 407247.79, 462992.56, 458936.12, 383659.22, 469599.36, 433883.15, 448900.46, 463307.54, 480724.21, 395312.23, 448389.81, 465533.37, 451710.29, 453061.9, 408860.13, 411747.52, 477466.2, 452680.0];438063.0625;31588.90422217001
23697;8647;4;20;[384432.22, 397393.38, 398679.31, 385881.54, 385143.58, 406341.35, 421426.79, 394943.19, 393341.02, 393590.88, 402365.33, 395923.51, 382102.85, 416120.75, 397559.88, 385195.26, 391481.09, 377681.05, 427990.45, 414642.25];397611.784;13694.56106007222
18757;12027;4;20;[461540.65, 441840.26, 449223.69, 422162.77, 479553.72, 465265.32, 449584.65, 477029.93, 418012.06, 485217.6, 475088.84, 411714.46, 444974.1, 457487.12, 449896.24, 490081.82, 432352.66, 433341.31, 435826.24, 471932.85];452606.3145;22934.88751195676
20837;6827;4;20;[445506.41, 455547.99, 453631.24, 469231.52, 466507.99, 452110.38, 470290.32, 496844.38, 440311.0, 456802.84, 454869.11, 491801.27, 473020.62, 460110.32, 456579.71, 465246.92, 423220.12, 466523.63, 460146.07, 462224.79];461026.3315;16136.24478488666
22657;9427;4;20;[417650.24, 412840.24, 416034.83, 395078.89, 455839.94, 418826.17, 434271.92, 432540.02, 400847.66, 426941.34, 423426.57, 395602.92, 397744.45, 405502.38, 434046.16, 417198.96, 409251.11, 416390.05, 424487.74, 435953.6];418523.7595;15614.791871672758
18757;10207;4;20;[489207.46, 495640.16, 495044.93, 466875.9, 443833.57, 497699.5, 462799.61, 464912.79, 474452.31, 518435.73, 469376.41, 526995.72, 494247.29, 478393.67, 464849.6, 468615.69, 486251.57, 495234.05, 484461.8, 415233.66];479628.071;24868.03659205292
17977;9687;4;20;[486561.15, 470407.48, 486471.09, 479479.46, 496626.08, 474567.3, 457852.4, 537119.5, 495113.32, 497789.34, 507972.46, 524539.53, 455504.53, 444471.57, 481812.7, 517236.92, 469878.54, 537152.19, 525408.35, 467115.09];490653.95;27266.907876166817
19277;12027;4;20;[409574.89, 458263.41, 471669.1, 484973.09, 431264.44, 451277.86, 454250.68, 441440.34, 458441.85, 411066.02, 456754.24, 414167.11, 475258.54, 439908.12, 469660.84, 435488.26, 408519.23, 463958.22, 468425.8, 424481.0];446442.152;23781.787687817927
21617;13067;4;20;[408348.21, 414641.4, 402914.42, 418692.38, 407538.39, 369502.57, 391497.97, 451614.53, 406696.99, 410185.19, 430848.3, 463479.61, 405813.52, 444088.24, 430966.79, 412198.97, 404107.01, 422237.15, 403904.52, 369522.68];413439.942;23422.04304170609
21877;13067;4;20;[449669.07, 383630.57, 428574.21, 378376.62, 376266.59, 378893.49, 378249.87, 414438.06, 396896.12, 420034.99, 390475.35, 426936.12, 431752.21, 399864.53, 363287.79, 456897.33, 432164.91, 411669.73, 414565.81, 418349.46];407549.6415;26267.47635809113
20837;11767;4;20;[414156.8, 412339.33, 412815.03, 456053.45, 435621.83, 405195.77, 438252.7, 405197.11, 441375.32, 434350.76, 424044.16, 452195.69, 442651.08, 429271.31, 431601.96, 454513.45, 498239.47, 446421.77, 442908.2, 443830.07];436051.763;21593.586382681
17457;12807;4;20;[419385.28, 431216.77, 446186.05, 453705.95, 435600.0, 411641.07, 430901.7, 406459.13, 450251.85, 424488.33, 430480.05, 406580.14, 448167.16, 443088.69, 452418.87, 481758.58, 439114.96, 448835.38, 412110.51, 439337.51];435586.399;18854.82068510077
19017;6827;4;20;[500946.92, 479983.98, 503175.27, 471656.39, 436607.98, 484463.57, 465159.46, 533766.64, 497997.26, 486109.05, 469224.39, 478339.11, 491108.37, 466801.76, 480898.8, 471648.34, 471098.42, 453371.26, 506151.27, 480360.75];481443.4495;20948.915902664263
