S;s;i;n_fo;fo_list;Avg_fo;Std_fo
850;340;4;20;[19069.84, 17896.72, 16463.38, 17410.5, 17789.66, 17529.12, 20732.3, 17027.399999999998, 19220.14, 18699.24, 20005.95, 18042.07, 16425.95, 19183.95, 21272.13, 16757.19, 16949.71, 17305.51, 18438.03, 18372.06];18229.5425;1367.6202093528248
900;250;4;20;[19440.5, 14037.48, 16585.87, 14426.18, 17109.54, 17320.49, 18538.82, 16698.29, 15909.66, 18583.63, 17381.09, 19023.79, 18240.67, 15702.7, 16307.24, 14365.43, 17040.77, 16668.05, 16580.63, 16413.9];16818.7365;1498.3717615018152
710;220;4;20;[25705.42, 23029.47, 24961.05, 22890.5, 22521.94, 25086.91, 22513.86, 19298.75, 24264.34, 22520.3, 23541.19, 22389.22, 23947.57, 23838.94, 21990.920000000002, 23903.81, 19011.98, 19635.129999999997, 25142.43, 23445.06];22981.9395;1886.752110977668
790;260;4;20;[19329.57, 18364.559999999998, 22182.3, 20683.91, 18623.370000000003, 18423.46, 22056.28, 19714.02, 22103.8, 20421.16, 23255.11, 21353.76, 22317.03, 20266.15, 21158.88, 19859.81, 21697.14, 20271.56, 22753.7, 18298.0];20656.6785;1550.6875912767653
870;340;4;20;[19859.5, 18503.39, 20014.58, 18326.67, 17789.3, 17171.27, 18162.65, 17306.72, 18059.7, 17364.81, 18090.38, 16247.52, 19370.78, 16666.99, 17133.14, 18100.46, 15406.16, 19194.52, 18289.9, 17059.01];17905.8725;1169.0241812990191
700;380;4;20;[17861.33, 18999.14, 18333.62, 19542.11, 18841.48, 17084.96, 20142.71, 18069.81, 17391.27, 19080.82, 19089.05, 16265.04, 21973.65, 16703.54, 19758.06, 18541.95, 20238.99, 17391.46, 18410.51, 20045.55];18688.2525;1386.0350528334034
670;270;4;68;[23541.42, 20272.77, 23730.81, 18927.44, 21550.07, 20286.909999999996, 19169.09, 20450.94, 24620.48, 23964.06, 21730.25, 24821.26, 22874.300000000003, 21916.579999999998, 23450.559999999998, 22379.79, 23457.51, 23805.18, 24961.32, 23504.390000000003, 23541.42, 20272.77, 23730.81, 18927.44, 21550.07, 20286.909999999996, 19169.09, 20450.94, 24620.48, 23964.06, 21730.25, 24821.26, 22874.300000000003, 21916.579999999998, 23450.559999999998, 22379.79, 23541.42, 20272.77, 23730.81, 18927.44, 21550.07, 20286.909999999996, 19169.09, 20450.94, 24620.48, 23964.06, 21730.25, 24821.26, 22874.300000000003, 21916.579999999998, 23450.559999999998, 22379.79, 23541.42, 20272.77, 23730.81, 18927.44, 21550.07, 20286.909999999996, 19169.09, 20450.94, 24620.48, 23964.06, 21730.25, 24821.26, 22874.300000000003, 21916.579999999998, 23450.559999999998, 22379.79];22212.872352941176;1835.9003537921344
730;280;4;20;[20236.46, 22336.59, 21927.81, 21623.61, 15504.850000000002, 22551.6, 25584.88, 16983.34, 19009.37, 16368.470000000001, 22116.26, 20381.68, 21132.59, 21825.1, 21964.63, 20349.329999999998, 15959.36, 21500.78, 19322.45, 18544.88];20261.202;2575.7621511937205
830;360;4;20;[17795.94, 18151.88, 19763.19, 19786.59, 17325.72, 19728.11, 20838.11, 16983.06, 17084.07, 18923.48, 19075.33, 18944.33, 19794.78, 19874.7, 17012.29, 19667.75, 19866.79, 21338.06, 18740.0, 20695.28];19069.473;1311.733905100621
840;390;4;20;[13933.36, 18069.03, 15886.08, 17964.26, 16369.32, 18265.48, 21061.63, 16603.89, 17249.32, 17878.04, 17696.47, 19010.53, 17548.65, 18452.95, 18185.35, 17850.58, 18462.79, 18092.03, 17433.53, 18510.96];17726.2125;1386.537481042444
800;220;4;20;[21272.26, 20094.01, 20744.68, 21903.88, 21499.74, 20764.51, 20428.89, 17933.19, 21154.3, 21674.43, 21742.9, 21418.15, 20928.76, 18794.289999999997, 21686.16, 20865.14, 20850.56, 17855.29, 19950.35, 21650.4];20660.5945;1203.303827544793
650;330;4;20;[22534.22, 20701.49, 20948.35, 21098.18, 20894.87, 22359.11, 22919.4, 19731.09, 20660.81, 19465.0, 22220.83, 20306.71, 22279.35, 20928.55, 22668.35, 21700.41, 21746.86, 23005.06, 21887.03, 22728.9];21539.2285;1063.8683657951944
710;280;4;20;[23789.18, 25900.11, 20837.98, 24031.35, 19842.23, 24323.57, 23858.65, 23596.53, 21664.02, 22794.3, 22470.55, 23117.87, 22612.54, 20777.55, 18633.23, 21997.45, 22683.63, 21755.12, 23792.73, 23860.18];22616.9385;1700.710676048089
610;240;4;20;[20691.95, 19455.980000000003, 22707.449999999997, 15364.84, 17580.84, 15085.73, 17629.71, 22487.77, 22009.190000000002, 14545.43, 17873.95, 19033.32, 14615.009999999998, 24385.690000000002, 19176.48, 24815.329999999998, 22379.33, 18728.39, 23288.16, 18562.59];19520.857;3230.658327677275
830;350;4;20;[18803.03, 17608.41, 20384.8, 19787.86, 19634.45, 20464.94, 19284.14, 20512.3, 17851.42, 17817.3, 19030.41, 18346.98, 21445.38, 18641.58, 21293.84, 20056.46, 18499.13, 20227.75, 19135.58, 19693.03];19425.9395;1116.6216543592318
730;380;4;20;[18930.27, 17413.14, 18539.09, 17000.01, 20520.57, 20732.64, 19928.69, 18062.83, 18401.75, 17975.64, 17968.65, 19581.66, 18782.01, 17627.93, 18184.69, 20242.31, 17935.69, 18098.13, 20454.46, 18837.97];18760.9065;1116.4374481795348
710;360;4;20;[20588.33, 21702.61, 23102.48, 20077.65, 18451.1, 21364.02, 21010.57, 22462.88, 18920.2, 21298.1, 21068.48, 21665.04, 21475.65, 20691.83, 20753.53, 21470.55, 20371.95, 19812.4, 19880.49, 20274.12];20822.099;1103.1214448907676
790;410;4;20;[14685.28, 15948.27, 17846.75, 17626.83, 17671.11, 19245.52, 16280.42, 15905.47, 18442.74, 17381.77, 18865.13, 16304.88, 17549.46, 14838.39, 17449.07, 18201.63, 17913.75, 17893.84, 17320.52, 20252.15];17381.149;1395.468379335506
700;210;4;20;[19499.95, 22123.73, 23102.1, 21769.39, 18958.29, 22354.34, 22597.440000000002, 20280.1, 23290.37, 20542.86, 20386.23, 18112.44, 23834.54, 19013.21, 18450.43, 24670.86, 22686.97, 22818.420000000002, 23683.11, 19867.7];21402.124;1988.4294113680992
770;420;4;20;[19006.48, 18645.22, 14895.36, 17738.52, 17142.38, 16745.91, 18381.02, 14307.29, 14839.92, 17281.59, 19174.0, 17796.47, 17717.9, 17873.08, 17028.79, 17128.07, 17561.52, 15931.5, 15950.89, 15135.47];17014.069;1421.2905617001384
710;230;4;20;[25705.42, 23029.47, 24961.05, 22890.5, 22521.94, 21290.239999999998, 22665.73, 21629.33, 24264.34, 20587.8, 23541.19, 22389.22, 22272.97, 18158.32, 21990.920000000002, 23903.81, 20514.13, 17920.41, 25142.43, 23445.06];22441.214;2061.34799631442
830;390;4;20;[17807.13, 17269.67, 16922.33, 17576.42, 17835.29, 20046.97, 17988.43, 19741.91, 17092.91, 19528.4, 17913.39, 18527.02, 18595.53, 18711.91, 19688.48, 18468.7, 20975.89, 18763.99, 17135.6, 18101.43];18434.57;1099.26328004379
790;340;4;20;[20834.66, 19822.83, 19043.89, 22179.62, 21956.31, 23247.65, 17831.25, 19289.77, 19412.01, 19124.41, 20277.65, 18377.87, 18993.15, 17479.760000000002, 19432.01, 19986.69, 20869.46, 20469.24, 20228.77, 20643.79];19975.0395;1431.1320159395168
680;340;4;20;[22558.5, 20913.49, 21156.03, 21409.08, 21557.78, 21645.27, 21524.69, 20157.46, 21287.96, 21304.58, 22756.09, 19109.16, 21057.7, 22639.99, 22754.26, 23946.38, 19788.7, 20533.24, 22472.78, 24174.76];21637.395;1286.2615702164894
810;390;4;20;[20719.45, 18084.21, 16680.01, 17640.68, 17724.97, 19542.96, 16661.48, 18411.57, 18813.36, 18550.94, 18310.27, 20224.23, 19309.95, 17604.51, 17786.54, 20374.94, 17689.21, 17629.09, 19489.57, 16545.78];18389.686;1230.9357787617475
610;290;4;20;[20579.75, 23414.72, 22634.85, 24368.62, 24270.59, 23524.66, 24552.58, 22252.27, 20316.519999999997, 18259.07, 19965.91, 20331.39, 22628.33, 23518.14, 19971.120000000003, 21790.59, 20576.79, 22225.59, 22549.97, 22456.23];22009.3845;1736.4039779245984
880;330;4;20;[18319.57, 17224.92, 17225.17, 18658.72, 16383.89, 16629.21, 15768.27, 18300.13, 16442.58, 17091.17, 13844.54, 18451.75, 16017.53, 17077.28, 16170.04, 18890.57, 17303.61, 16711.1, 17463.16, 18384.09];17117.865;1213.1808005382943
800;340;4;20;[18643.67, 20082.06, 18865.95, 19327.75, 20738.63, 20824.03, 17861.73, 17932.01, 22201.29, 20817.27, 19796.92, 19496.09, 20281.53, 18366.36, 19542.49, 20007.63, 20838.91, 20834.92, 20259.72, 20169.24];19844.41;1110.635558109339
720;340;4;20;[21280.9, 23363.64, 18691.04, 21476.22, 22896.45, 22725.15, 23305.64, 21028.03, 18955.85, 20608.88, 21416.47, 19928.2, 22678.38, 15406.679999999998, 21633.56, 20698.97, 20874.25, 22143.78, 22490.35, 23474.22];21253.833;1943.131883925373
810;270;4;20;[20096.96, 18189.3, 21624.4, 19861.83, 20623.52, 19341.469999999998, 19178.62, 20343.33, 20751.75, 20293.19, 18175.99, 20107.21, 19955.29, 21602.67, 20565.87, 19916.33, 18530.58, 21535.06, 19130.02, 19230.35];19952.687;1032.8345358442618
810;410;4;20;[17686.94, 17584.2, 17789.25, 16517.66, 18254.54, 16861.74, 17035.09, 17219.82, 15712.55, 16116.96, 18414.68, 19688.07, 16753.27, 13580.96, 17004.04, 17073.55, 18826.25, 17194.73, 18241.29, 16398.58];17197.7085;1281.971919140998
750;360;4;20;[21917.95, 18878.33, 22229.63, 20363.9, 19961.07, 20125.01, 18449.92, 18257.65, 19999.19, 18278.8, 22348.46, 21968.15, 19725.92, 20309.15, 20243.31, 22724.68, 19800.14, 19870.36, 18995.13, 19446.2];20194.6475;1378.722951269246
720;290;4;20;[21307.97, 21076.59, 22391.43, 24069.31, 20400.86, 19024.08, 18340.84, 23212.23, 23059.47, 20919.72, 21648.969999999998, 24344.79, 23578.28, 18231.6, 15872.710000000001, 23944.14, 21858.14, 20993.31, 20927.719999999998, 21604.56];21340.336;2195.7092422157307
790;310;4;20;[19774.37, 18018.21, 21813.43, 20975.61, 20604.14, 22635.98, 22499.27, 16958.69, 21557.81, 17332.420000000002, 22769.27, 20543.63, 20299.61, 21536.87, 21158.88, 22822.81, 22267.12, 18491.46, 21655.35, 18789.2];20625.2065;1836.7915259245283
880;420;4;20;[17342.59, 17071.78, 16783.06, 15785.93, 15804.97, 17119.11, 16278.12, 15379.85, 14189.88, 16039.72, 16391.36, 15325.08, 16091.06, 14801.52, 17082.02, 15022.5, 15888.95, 13981.31, 16446.25, 16222.61];15952.3835;948.9925527924476
700;200;4;20;[19499.95, 21375.36, 23102.1, 21769.39, 19253.14, 21280.85, 22597.440000000002, 20280.1, 23290.37, 20542.86, 20386.23, 18112.44, 23834.54, 21762.21, 18181.78, 24670.86, 22686.97, 22818.420000000002, 23683.11, 19867.7];21449.791;1897.261277020948
630;300;4;52;[22273.71, 23693.71, 22826.93, 23470.91, 22917.769999999997, 23997.2, 22063.7, 23779.08, 22264.7, 23227.26, 22279.63, 24058.12, 19999.28, 22603.53, 22623.31, 22924.02, 20115.16, 23513.17, 22543.0, 21852.32, 22273.71, 23693.71, 22826.93, 23470.91, 22917.769999999997, 23997.2, 22063.7, 23779.08, 22264.7, 23227.26, 22279.63, 24058.12, 19999.28, 22603.53, 22623.31, 22924.02, 22273.71, 23693.71, 22826.93, 23470.91, 22917.769999999997, 23997.2, 22063.7, 23779.08, 22264.7, 23227.26, 22279.63, 24058.12, 19999.28, 22603.53, 22623.31, 22924.02];22750.619807692303;1016.8538770041612
860;360;4;20;[18916.48, 17152.27, 15960.9, 19184.26, 18093.03, 19351.78, 15530.23, 19292.14, 15489.27, 14387.38, 19415.06, 15478.29, 16194.37, 16890.0, 21440.07, 17008.06, 16874.55, 19313.98, 18326.27, 20594.64];17744.6515;1923.246971160121
780;250;4;20;[20738.48, 22125.82, 20629.47, 20463.03, 21420.77, 21688.88, 22526.13, 22286.62, 20287.170000000002, 16910.36, 23403.51, 21355.24, 22017.96, 19487.67, 18804.39, 21457.16, 20144.97, 23510.81, 20120.96, 20293.89];20983.6645;1559.1527587476037
740;360;4;20;[18946.59, 18825.79, 19032.54, 22972.87, 19728.04, 18435.11, 21723.85, 20411.47, 17622.23, 18394.69, 20345.47, 19410.43, 20245.55, 21196.02, 22112.04, 20421.5, 18385.47, 20143.14, 19801.92, 21505.41];19983.0065;1408.2461668266103
710;390;4;20;[19832.55, 18637.39, 17209.04, 17453.5, 18812.77, 20273.21, 17959.56, 18665.25, 16290.22, 17247.16, 17452.45, 17338.3, 20319.47, 17705.97, 15096.9, 18520.11, 18124.09, 16979.8, 17223.86, 15009.0];17807.53;1436.690572468913
640;340;4;20;[22613.56, 20483.96, 19732.46, 20553.28, 22020.51, 21094.16, 20358.37, 20521.4, 18734.37, 21680.79, 19481.99, 23005.84, 22073.94, 21708.83, 22671.62, 18171.22, 19915.42, 21135.3, 20094.260000000002, 18644.24];20734.776;1393.6181144186485
680;230;4;20;[23870.74, 18179.84, 25650.52, 25589.34, 20296.510000000002, 21727.01, 20915.949999999997, 20588.43, 15989.129999999997, 23065.19, 23851.85, 20415.0, 21143.269999999997, 25584.67, 23821.62, 24356.95, 22254.449999999997, 23599.13, 23154.54, 19829.269999999997];22194.1705;2554.913872824752
750;340;4;20;[20408.06, 20837.34, 19003.83, 17644.4, 20493.47, 22584.27, 18870.100000000002, 22260.29, 19618.6, 19772.0, 20106.73, 20817.32, 18972.27, 20090.99, 21053.18, 20019.44, 18790.99, 21074.98, 19098.3, 20806.37];20116.1465;1204.7737522577463
890;220;4;20;[18693.79, 18008.93, 18502.92, 17186.66, 14141.51, 14858.15, 18058.58, 18085.06, 12373.779999999999, 18343.17, 18687.49, 16826.4, 16522.36, 15683.09, 17810.55, 18483.41, 17741.04, 18919.82, 18667.42, 18919.32];17325.6725;1787.6513472471286
800;330;4;20;[17782.4, 20267.9, 20722.93, 21572.77, 18855.52, 20852.5, 19949.47, 19201.69, 21177.69, 19781.98, 22406.79, 18965.26, 19472.86, 17429.489999999998, 21105.18, 19270.91, 21032.34, 19683.16, 18953.63, 20190.48];19933.7475;1252.5321596244232
660;230;4;20;[19769.030000000002, 22298.03, 21465.36, 19525.84, 22028.7, 18964.050000000003, 14265.48, 17471.32, 21247.579999999998, 19716.34, 19689.62, 25158.75, 16959.840000000004, 24288.96, 24417.18, 23478.22, 23049.12, 22799.17, 12858.46, 16426.89];20293.897;3394.5857857850174
630;220;4;20;[14839.099999999999, 21348.43, 23474.800000000003, 19041.010000000002, 21259.19, 24096.079999999998, 22421.91, 18720.77, 17233.629999999997, 12562.779999999999, 19059.059999999998, 16976.93, 18171.64, 17833.550000000003, 22540.29, 14257.85, 16255.029999999999, 18914.18, 19710.29, 17860.08];18828.83;3079.6265947334387
750;320;4;20;[23317.33, 22208.34, 23788.49, 19850.68, 23892.05, 22840.87, 20767.29, 23158.75, 21526.79, 21444.46, 23898.59, 22114.78, 23490.43, 19597.73, 22296.05, 23112.29, 20090.52, 21540.12, 19930.59, 20705.54];21978.5845;1451.3193917640126
780;350;4;20;[18756.370000000003, 20774.9, 19725.63, 20636.88, 21084.99, 21803.23, 18836.74, 20282.26, 21388.51, 19970.2, 20089.33, 20080.59, 20895.32, 19229.2, 18881.81, 20576.25, 20723.170000000002, 19633.13, 17661.39, 19233.34];20013.162;1029.1054110276143
630;330;4;20;[21371.32, 19312.49, 21376.13, 21557.16, 20359.34, 21596.59, 22066.02, 21973.83, 21229.75, 22519.41, 21067.05, 21081.28, 20493.61, 22294.11, 21004.82, 20965.73, 20637.13, 20117.31, 22755.56, 20739.96];21225.93;847.0680637910609
840;300;4;20;[19241.29, 17358.73, 17345.79, 16993.07, 18681.61, 18126.97, 19148.44, 19041.1, 17635.13, 19110.13, 19371.99, 18480.93, 20336.55, 20792.15, 18365.13, 20034.67, 19431.47, 18369.29, 17563.76, 19955.62];18769.191;1067.5235224717655
870;380;4;20;[17366.54, 17858.77, 17467.9, 16859.41, 16703.23, 17729.66, 17400.19, 17431.02, 18224.78, 15364.63, 20112.02, 19224.28, 21273.7, 15821.05, 19031.46, 17539.5, 18518.93, 19166.04, 16807.34, 15406.75];17765.36;1501.1363800450436
